ID_Pelanggan,Usia_Pelanggan,Jenis_kelamin,Tanggungan,Pendidikan,Status_Kawin,Kode_Kota,Punya_Kendaraan,Punya_Rumah,Pinjaman,Kontak,Pekerjaan,Penghasilan
708082083,24,F,1,Uneducated,Single,FL,no,yes,no,unknown,Businessman,202326
708083283,62,F,0,Unknown,Married,NJ,no,no,no,cellular,Selfemployeed,5225
708084558,32,F,1,Unknown,Married,NJ,yes,no,no,unknown,Selfemployeed,14235
708085458,38,M,2,Uneducated,Single,NY,no,no,no,cellular,Blue-collar,45683
708086958,48,M,4,Graduate,Single,TX,yes,yes,no,cellular,Businessman,59279
708095133,33,F,1,High School,Single,NY,no,yes,no,cellular,Selfemployeed,14254
708098133,34,F,3,Graduate,Single,CA,yes,no,no,telephone,Selfemployeed,14975
708099183,34,F,2,Uneducated,Single,CA,no,no,no,cellular,Retirees,31982
708100533,48,M,2,High School,Married,NJ,yes,no,no,telephone,Businessman,86668
708103608,53,F,1,Graduate,Married,NJ,yes,yes,no,cellular,Businessman,223196
708104658,31,F,0,Post-Graduate,Single,CA,no,yes,no,telephone,Businessman,33625
708108333,34,F,4,Graduate,Single,NY,no,no,no,cellular,Selfemployeed,14975
708112008,51,F,2,Graduate,Single,NJ,yes,yes,no,cellular,Selfemployeed,14975
708113208,36,M,1,High School,Single,NJ,yes,no,no,telephone,White-collar,59416
708117933,49,F,4,Graduate,Married,CA,no,yes,no,unknown,Retirees,28122
708119658,53,F,2,Graduate,Single,FL,yes,no,no,cellular,Govt,29021
708121908,49,F,1,Graduate,Married,TX,no,no,no,unknown,Selfemployeed,20632
708123033,47,F,5,Graduate,Married,FL,no,no,no,cellular,Businessman,172101
708125733,43,F,4,Graduate,Single,FL,no,no,no,cellular,Retirees,57168
708128733,47,M,3,Graduate,Married,NY,no,no,no,cellular,Govt,89954
708129933,34,F,3,Uneducated,Single,TX,yes,yes,yes,telephone,Blue-collar,53762
708132783,37,F,5,Unknown,Married,NJ,yes,yes,no,cellular,Selfemployeed,45476
708134283,63,M,0,Graduate,Single,TX,yes,yes,yes,cellular,Selfemployeed,14975
708136908,55,M,2,Doctorate,Married,MO,yes,yes,no,cellular,Retirees,72878
708139833,38,F,1,Unknown,Single,NY,no,no,no,cellular,Businessman,25667
708145908,40,M,3,Graduate,Single,MA,no,yes,no,cellular,Blue-collar,47224
708147108,55,F,0,Graduate,Single,NY,yes,no,no,unknown,White-collar,25341
708148158,33,M,2,Doctorate,Single,NY,no,yes,yes,cellular,Blue-collar,53644
708151008,54,F,1,Uneducated,Married,CA,no,yes,no,cellular,Govt,27423
